start_idx,end_idx,avg_power,duration_sec,energy_kwh,cluster,appliance
24685,24780,40.50912280701781,1546.467,0.01682014088888901,0,AC
24780,24865,10.705882352941444,1793.754,0.005175213120370509,0,AC
24865,24870,2455.6600000000003,61.586,0.050668070490740735,0,AC
24870,24880,3044.3500000000004,126.654,0.1378703874166667,0,AC
24880,24885,3008.926666666667,60.503,0.06308813317592592,0,AC
24890,24905,3075.7200000000007,210.329,0.19205317204629635,0,AC
24910,24915,2603.5266666666666,60.326,0.056305033546296304,0,AC
24920,24925,2985.313333333334,68.821,0.06897261462962964,0,AC
24925,24930,2390.146666666667,60.997,0.04305007267592593,0,AC
24930,24940,3009.026666666667,134.52,0.12491355837962966,0,AC
24940,24945,3051.7400000000002,65.346,0.06785405195370371,0,AC
24945,24960,3007.464444444445,209.625,0.18417293869444448,0,AC
24960,24970,2942.1433333333334,133.239,0.12364318294444444,0,AC
24970,24975,1779.9600000000005,706.749,0.21992356104629637,0,AC
24975,25005,37.55777777777808,560.862,0.005843699962963011,0,AC
25005,25130,8.82213333333362,2023.556,0.004678529870370532,0,AC
25135,25140,2876.1133333333337,63.386,0.06339317725925926,0,AC
25140,25150,2844.153333333333,135.06,0.11940055633333334,0,AC
25150,25155,2901.746666666667,60.014,0.06051387085185186,0,AC
25155,25160,1751.5866666666668,61.306,0.03565927063888889,0,AC
25165,25180,2909.844444444445,197.901,0.21257264534259263,0,AC
25180,25185,1174.906666666667,62.739,0.024178079518518525,0,AC
25185,25205,7.690000000000275,302.282,0.0006665149351852093,0,AC
25205,25305,38.4960000000003,1744.413,0.01907374340740755,0,AC
25305,25310,1086.7666666666669,77.122,0.030764068944444452,0,AC
25310,25315,2687.28,62.772,0.05716855118518519,0,AC
25315,25320,2131.4133333333334,60.996,0.04395244822222224,0,AC
25320,25330,2692.75,255.485,0.28762369312037034,0,AC
25330,25340,2652.5800000000004,134.552,0.11070028311111112,0,AC
25340,25345,2681.2266666666665,60.621,0.05894776998148148,0,AC
25345,25350,2717.813333333334,63.177,0.05599062397222223,0,AC
25350,25355,2532.913333333334,60.004,0.051355831990740744,0,AC
25365,25370,837.0000000000002,60.213,0.017559704259259266,0,AC
25370,25485,8.584347826087239,2448.952,0.005846863888889084,0,AC
25485,25565,37.83833333333362,1708.389,0.01848719738888902,0,AC
25570,25580,159.97333333333364,132.703,0.006707973962962976,0,AC
25585,25615,160.38888888888917,561.138,0.025717490361111168,0,AC
25620,25645,10.890666666666958,375.003,0.0011486076666666982,0,AC
25645,25760,48.942608695652474,1932.496,0.035314016722222424,0,AC
25760,25945,8.133693693693996,3368.254,0.007337640907407691,0,AC
25945,26020,41.739111111111406,1952.47,0.021661971083333495,0,AC
26020,26105,8.505882352941471,2188.896,0.005809757574074262,0,AC
26105,26195,40.061481481481785,1589.563,0.018413301546296446,0,AC
26195,26325,9.333589743590041,2613.242,0.007014686481481701,0,AC
26325,26370,34.611851851852144,1723.084,0.01858738716666683,0,AC
26370,26505,9.091111111111385,2806.612,0.007101764472222423,0,AC
26505,26635,40.39615384615414,2336.286,0.026633570805555735,0,AC
26635,26685,9.933333333333628,735.955,0.002076867935185247,0,AC
26685,26690,1642.0333333333335,60212.181,30.357702363277777,2,FRIDGE
26690,26695,2735.2200000000003,60.098,0.05703308683333334,0,AC
26695,26700,2770.4466666666667,60.092,0.057771846537037055,0,AC
26700,26705,2232.4133333333334,74.671,0.05199746011111112,0,AC
26705,26755,8.182666666666965,740.866,0.001703330324074137,0,AC
26755,26775,141.91833333333366,406.437,0.017550374027777815,0,AC
26775,26790,166.4511111111114,198.44,0.01092130962962965,0,AC
26790,26795,191.55333333333363,78.762,0.004937452898148156,0,AC
26795,26800,99.51333333333363,61.829,0.0021409693518518584,0,AC
26805,26820,67.06444444444475,344.771,0.007303980944444474,0,AC
26820,26840,99.25833333333364,315.299,0.009236508888888918,0,AC
26840,26870,80.71444444444475,437.965,0.010173781120370408,0,AC
26870,26920,106.95533333333364,791.92,0.023864698046296363,0,AC
26920,26925,39.573333333333636,60.859,0.0009065182222222285,0,AC
26930,26935,206.92666666666696,60.001,0.004295019231481488,0,AC
26935,26945,82.66000000000031,187.504,0.004979572731481498,0,AC
26945,26955,142.9500000000003,139.87,0.005640710342592604,0,AC
26955,26965,122.50333333333363,133.065,0.005057708250000012,0,AC
26965,26975,93.07666666666695,133.206,0.003863423907407419,0,AC
26980,26985,365.26000000000033,60.003,0.007504434981481487,0,AC
26985,26990,270.36000000000024,60.315,0.005775138055555563,0,AC
26990,27000,65.88333333333364,136.301,0.002760203212962976,0,AC
27005,27020,89.4777777777781,228.135,0.0061902436481481695,0,AC
27020,27030,50.9400000000003,134.868,0.0021392553796296425,0,AC
27030,27035,85.79333333333363,60.272,0.0018220963333333397,0,AC
27035,27040,119.88666666666697,60.304,0.0024985037777777845,0,AC
27045,27050,270.82666666666694,61.876,0.0057815271759259325,0,AC
27055,27060,282.80000000000035,60.007,0.005920739425925933,0,AC
27060,27070,29.803333333333637,259.399,0.0021830761851852083,0,AC
27070,27160,11.950740740741036,1674.977,0.005458980138889029,0,AC
27160,27235,43.478666666666975,2151.919,0.023108161435185362,0,AC
27235,27375,8.580000000000291,2239.502,0.0054264105555557295,0,AC
27375,27505,39.860769230769534,1946.861,0.02170597847222238,0,AC
27505,27655,8.598000000000287,2286.235,0.005532135842592777,0,AC
27655,27720,39.74564102564132,1348.937,0.014470473074074184,0,AC
27720,27815,8.90105263157922,1932.908,0.006365848564814986,0,AC
27815,27910,41.14070175438626,1794.979,0.019272989981481633,0,AC
27910,28005,9.061052631579239,2489.4,0.008321242240740946,0,AC
28005,28090,40.95568627451009,1277.525,0.014722821083333438,0,AC
28090,28185,9.13228070175468,2293.18,0.00630205362962982,0,AC
28185,28250,38.84820512820543,1725.227,0.018901136129629785,0,AC
28250,28400,9.19600000000028,2306.983,0.00594213788888907,0,AC
28400,28540,40.5997619047622,2250.596,0.0257309275185187,0,AC
28540,28550,8.86666666666697,136.909,0.0003755300462963092,0,AC
28550,28635,26.47450980392186,1711.514,0.011833305268518652,0,AC
28635,28675,58.00416666666696,2268.55,0.03757817773148168,0,AC
28675,28750,30.3422222222225,2214.235,0.018969308296296467,0,AC
28750,28770,60.72500000000029,297.902,0.005262692546296322,0,AC
28770,28815,195.1111111111114,690.208,0.03804747433333339,0,AC
28815,28820,127.26000000000029,60.076,0.002748741361111117,0,AC
28820,28845,27.826666666666966,375.317,0.0029831467500000333,0,AC
28845,28900,99.74060606060637,981.687,0.027055290435185276,0,AC
28900,28935,125.9304761904765,651.489,0.0234456711944445,0,AC
28935,28950,108.39333333333364,245.783,0.00778688217592595,0,AC
28950,28965,91.11111111111144,281.983,0.00809214969444447,0,AC
28965,29085,30.016388888889203,3664.982,0.02863914539814847,0,AC
29085,29125,58.524166666666986,599.867,0.010154530703703762,0,AC
29125,29175,44.35600000000032,1386.614,0.017270067101851968,0,AC
29175,29270,11.02280701754416,2222.761,0.0074109015092594524,0,AC
29270,29335,42.46000000000032,1388.673,0.016805295416666793,0,AC
29335,29435,9.940000000000316,2104.478,0.006388116064814974,0,AC
29435,29490,42.68727272727306,1365.738,0.016377936879629757,0,AC
29490,29530,11.070833333333649,2171.17,0.006939230796296492,0,AC
29530,29585,43.50969696969728,1146.098,0.013823552462963067,0,AC
29585,29685,13.92633333333363,2798.638,0.016193075046296527,0,AC
29685,29745,39.50444444444476,1047.176,0.011279868333333427,0,AC
29745,29785,13.419166666666968,2463.663,0.008909130564815031,0,AC
29785,29865,39.422083333333646,1577.578,0.01769064272222236,0,AC
29865,30000,11.00962962962994,2548.311,0.007925834342592811,0,AC
30000,30095,40.758596491228374,1689.4,0.01906870262037052,0,AC
30095,30170,9.886222222222537,1524.11,0.00495064632407421,0,AC
30170,30175,201.906666666667,163.45,0.02330502855555557,0,AC
30175,30180,2771.9333333333334,1564.092,1.5097339148703703,0,AC
30180,30185,2833.1733333333336,138.565,0.12543428172222224,0,AC
30185,30190,2648.9600000000005,165.163,0.14567183309259263,0,AC
30190,30195,2843.0066666666667,181.081,0.1293294276666667,0,AC
30195,30200,246.21333333333365,64.6,0.004181947305555562,0,AC
30200,30205,1210.1800000000003,148.015,0.04254703755555557,0,AC
30205,30210,1603.7333333333338,74.118,0.037569740064814824,0,AC
30210,30215,1858.9666666666672,61.429,0.039325443888888895,0,AC
30215,30220,598.1000000000003,120.324,0.06515208715740743,0,AC
30220,30225,194.78666666666697,120.971,0.006984053583333355,0,AC
30230,30235,1073.6266666666668,178.088,0.06669964737962965,0,AC
30235,30240,785.0600000000003,60.034,0.015654886750000006,0,AC
30240,30245,1815.8333333333335,165.958,0.1499761607962963,0,AC
30250,30255,1746.5133333333335,60.237,0.06750716160185186,0,AC
30255,30260,204.1933333333336,179.979,0.007215288342592608,0,AC
30260,30270,72.81666666666698,150.122,0.0033015520370370506,0,AC
30270,30340,17.75809523809554,1367.48,0.007122241388889003,0,AC
30340,30345,2358.88,64.73,0.052045852018518524,0,AC
30345,30360,2901.3377777777782,210.453,0.17782370269444445,0,AC
